URL,Book,Text,hdr1,hdr2,tildeinfo,note,lines,metadata,data,region,stoich,sinistr,subregion,date,other_info_0,other_info_1,other_info_2
/text/152165?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5883,Regions,IGBulg V 5883,,,10,"1



5




10","ἔτους θρʹ σεβαστοῦ τοῦ καὶ εκσʹ.
θεοῖς σεβαστοῖς, Εἴσιδι καὶ
Σέραπι θεοῖς συννάοις vv Νει-
νηνων ὁ δῆμος καθείδρυ-
σεν ἐπιμελουμένων Κίμ-
βρου τοῦ Βειθυος, Νουμερί-
ου Κρίσπου, Μοκασου τοῦ Δρα-
κολα, Καλδενθου τοῦ Ασου,
Μοκασου τοῦ Κειλαιβειθυος,
Β̣ιτουλουσου τοῦ Μοκασου.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),77/78 AD,Rukaloto,77/78 AD,SEG 29.677
/text/152166?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5884,Regions,IGBulg V 5884,,,4,"1


","Ἰσιτύχῃ
Πύρρος Πυρρίου
τοῦ καὶ ΜαΦϹου {²⁷Μά<ρκ>ου(?)}²⁷.
∙ αι∙σʹ ∙ ἔτι.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),179/180 AD,Rukaloto,179/180 AD,SEG 30.708
/text/152167?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5885,Regions,IGBulg V 5885,,,5,"above relief I
above relief II.1

relief II.3
","[— — — — — — — — — — — — — — —]
κα-
ὶ αὑτῷ ζώων μνήμης χάριν ἀνέθηκεν
ἔτους
γπρʹ.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),151/152 AD,Rukaloto,151/152 AD,SEG 29.678
/text/152168?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5886,Regions,IGBulg V 5886,,,9,"1



5



","Αὐρ(ήλιοι) Πύρρος καὶ
Ἀρτεμίδωρος
τῇ ἰδίᾳ μητρὶ Πυ-
ρουσαλᾳ κατυχο-
μένῃ ἐπύουν, τῷ
δὲ πατρὶ Διονυ-
σίῳ ζῶντες ζώ-
ουσιν ἐπύουν.
ἔτι ∙  γνσʹ.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),221/222 AD,Hilyadnitsa,221/222 AD,SEG 29.679
/text/152169?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5887,Regions,IGBulg V 5887,,,8,"upper margin.1

lower field.3

5


","Διονυσίου
Νεικοστρατ-
ιανοῦ καὶ τῶν
τέκνων
κὲ τῆς γυνε-
κὸς Πρόκλα
μνήμης
χάριν.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),late 2nd-mid. 3rd c. AD,Rukaloto,late 2nd-mid. 3rd c. AD,SEG 29.680
/text/152170?location=1&patt=&bookid=140&offset=0&count=6&bookid=140&location=1,IGBulg V,5888,Regions,IGBulg V 5888,,,3,"1

","νοις τα[—]
ΑΟΤΗΦΡ Σαβείνου
[— — —] ἀνέθηκα.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),undated,Rukaloto,undated,SEG 47.1077
/text/152171?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5888bis,Regions,IGBulg V 5888bis,,,2,"below relief.1
","Πύρρος Μοκασου
κατὰ χρηματισμόν̣.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),undated,Suhiya Bryast nr. D. Gradeshnitsa,undated,SEG 47.1077
/text/152172?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5888ter,Regions,IGBulg V 5888ter,,,1,above relief.1,Πύρρος Πυρρ̣[ίου — —].,Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),undated,Suhiya Bryast nr. D. Gradeshnitsa,undated,SEG 47.1077
/text/152173?location=1&patt=&bookid=140&offset=8&count=4&bookid=140&location=1,IGBulg V,5889,Regions,IGBulg V 5889,,,2,"above relief.1
","Ἄρτεμις
Ἐλαφηβόλ[ος].",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),undated,Kresna,undated,
/text/152174?location=1&patt=&bookid=140&offset=8&count=4&bookid=140&location=1,IGBulg V,5890,Regions,IGBulg V 5890,,,5,"1



5","Πύρρος
Κειλαιβει-
θυος καὶ οἱ
περὶ αὐτόν.
Τραλις.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),undated,Kresna,undated,SEG 47.1063
